,trend,h,p,z,Tau,s,var_s,slope,intercept,r,R2
ŽD–y,no trend,False,0.17858997958690903,-1.3451091784961497,-0.08580910240202276,-543.0,162361.66666666666,-0.03137085137085134,20.356767676767678,-0.17791136530417112,0.03165245390439422
Asahikawa,decreasing,True,0.027331188434132292,-2.2067548859372,-0.14064475347661187,-890.0,162291.33333333334,-0.026394360356624496,12.478084179970972,-0.2028718186959336,0.04115697482099575
Kushiro,no trend,False,0.6425949657537227,-0.4640736693220391,-0.02970922882427307,-188.0,162371.33333333334,-0.015266007532956698,17.854896421845574,-0.08988544985950139,0.008079394096444939
Obihiro,no trend,False,0.9742645353334503,0.032260216474058065,0.0022123893805309734,14.0,162387.33333333334,0.0,13.5,-0.024545199667378018,0.0006024668267114539
Hakodate,no trend,False,0.9643687672380641,0.044671981099968984,0.0030025284450063213,19.0,162358.33333333334,0.0,14.0,-0.007924702995298318,6.280091756369013e-05
Abashiri,decreasing,True,0.012382810102920638,-2.5010431186711966,-0.16477987421383647,-917.0,134137.0,-0.07058823529411766,18.555882352941175,-0.2838686585826918,0.08058141532553684
